Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation,Cost_Per_Package
Bioplastic (PLA),74.5,6.6,89.5,2.22,55.3,8,Highly Recommended,255.0
Recycled Cardboard,26.7,4.6,94.6,1.08,83.5,5,Highly Recommended,124.4
Aluminum Foil,37.2,0.7,0.0,11.51,92.7,10,Avoid,131.4
Bamboo Fiber,50.6,1.0,96.6,0.67,44.7,7,Highly Recommended,146.2
Virgin Plastic (PP),62.7,3.4,1.5,5.55,15.9,10,Avoid,209.4
Aluminum Foil,37.2,4.1,0.0,8.23,96.9,10,Avoid,165.4
Bamboo Fiber,55.1,1.9,95.6,0.96,49.3,7,Highly Recommended,164.2
Edible Seaweed Film,8.7,9.3,100.0,0.43,2.1,2,Consider as Option,120.4
Bagasse (Sugarcane),29.6,6.2,99.0,1.22,53.4,7,Highly Recommended,156.2
Edible Seaweed Film,12.3,5.0,100.0,0.34,2.5,2,Consider as Option,84.6
Edible Seaweed Film,13.9,5.5,100.0,0.41,2.2,3,Consider as Option,97.8
Mushroom Mycelium,12.1,3.1,100.0,0.33,100.0,4,Highly Recommended,75.2
Virgin Plastic (PP),60.3,9.2,4.3,4.38,21.1,10,Avoid,262.6
Aluminum Foil,44.9,4.1,0.0,9.33,99.2,10,Avoid,180.8
Mushroom Mycelium,11.0,8.3,100.0,0.22,100.0,5,Highly Recommended,130.0
Aluminum Foil,26.9,4.6,0.0,10.8,93.2,10,Avoid,149.8
Mushroom Mycelium,22.0,8.0,100.0,0.2,100.0,4,Highly Recommended,144.0
Recycled Cardboard,18.7,1.8,90.0,1.38,92.8,5,Highly Recommended,80.4
Mushroom Mycelium,22.1,3.8,100.0,0.26,100.0,5,Highly Recommended,107.2
Bagasse (Sugarcane),20.9,5.7,95.3,1.13,51.1,6,Highly Recommended,128.8
Bagasse (Sugarcane),31.0,6.4,95.9,0.96,69.0,7,Highly Recommended,161.0
Recycled Cardboard,33.8,8.8,99.6,1.04,97.0,4,Highly Recommended,175.6
Edible Seaweed Film,11.1,6.8,100.0,0.6,7.4,4,Consider as Option,110.2
Bioplastic (PLA),53.6,3.4,92.6,2.32,59.0,9,Highly Recommended,186.2
Mushroom Mycelium,20.0,5.7,100.0,0.25,100.0,6,Highly Recommended,127.0
Virgin Plastic (PP),65.9,5.3,2.7,5.39,22.5,10,Avoid,234.8
Aluminum Foil,33.8,5.6,0.0,11.32,96.8,10,Avoid,173.6
Virgin Plastic (PP),65.8,4.9,4.6,3.53,18.2,10,Avoid,230.6
Mushroom Mycelium,19.1,0.7,100.0,0.34,100.0,6,Highly Recommended,75.2
Bioplastic (PLA),72.8,5.2,93.8,1.9,56.0,9,Highly Recommended,242.6
Recycled Cardboard,28.7,6.3,91.4,1.13,91.4,3,Highly Recommended,135.4
Bamboo Fiber,40.1,4.0,96.1,0.82,43.7,8,Highly Recommended,160.2
Bioplastic (PLA),56.0,8.4,90.1,1.74,40.7,8,Highly Recommended,236.0
Bagasse (Sugarcane),29.4,6.8,97.0,0.95,50.5,7,Highly Recommended,161.8
Virgin Plastic (PP),70.3,0.8,3.1,5.44,18.2,10,Avoid,198.6
Bagasse (Sugarcane),38.9,1.1,99.9,0.97,56.9,7,Highly Recommended,123.8
Virgin Plastic (PP),70.2,8.9,3.3,4.52,20.3,10,Avoid,279.4
Bioplastic (PLA),50.9,4.0,86.5,2.01,50.9,9,Highly Recommended,186.8
Virgin Plastic (PP),76.5,3.3,2.0,4.68,25.9,10,Avoid,236.0
Bamboo Fiber,50.8,9.4,95.2,0.62,40.5,6,Highly Recommended,225.6
Virgin Plastic (PP),81.1,8.5,0.6,5.55,21.5,10,Avoid,297.2
Bagasse (Sugarcane),33.5,3.1,96.4,0.91,66.1,6,Highly Recommended,128.0
Recycled Cardboard,31.5,4.1,93.2,1.32,81.2,3,Highly Recommended,119.0
Virgin Plastic (PP),80.9,2.4,0.4,5.46,20.6,10,Avoid,235.8
Mushroom Mycelium,21.6,3.4,100.0,0.22,100.0,5,Highly Recommended,102.2
Recycled Cardboard,22.0,6.0,93.4,1.22,92.4,4,Highly Recommended,124.0
Mushroom Mycelium,11.7,7.6,100.0,0.2,100.0,4,Highly Recommended,119.4
Virgin Plastic (PP),73.0,6.5,4.1,5.42,10.5,10,Avoid,261.0
Virgin Plastic (PP),73.9,2.5,2.1,3.64,26.8,10,Avoid,222.8
Recycled Cardboard,32.2,6.2,90.1,1.05,80.5,5,Highly Recommended,151.4
Edible Seaweed Film,10.4,4.9,100.0,0.48,8.9,4,Consider as Option,89.8
Mushroom Mycelium,22.0,8.6,100.0,0.29,100.0,5,Highly Recommended,155.0
Bagasse (Sugarcane),39.7,6.8,99.2,1.12,61.5,5,Highly Recommended,172.4
Bioplastic (PLA),72.5,4.1,89.1,2.27,58.1,9,Highly Recommended,231.0
Mushroom Mycelium,12.2,9.9,100.0,0.33,100.0,5,Highly Recommended,148.4
Bioplastic (PLA),56.8,7.8,85.3,1.56,51.0,8,Highly Recommended,231.6
Aluminum Foil,33.4,2.6,0.0,9.7,99.0,10,Avoid,142.8
Aluminum Foil,26.4,4.8,0.0,8.75,98.1,10,Avoid,150.8
Virgin Plastic (PP),85.4,2.7,0.7,5.46,28.5,10,Avoid,247.8
Mushroom Mycelium,17.4,8.1,100.0,0.3,100.0,5,Highly Recommended,140.8
Edible Seaweed Film,9.5,4.4,100.0,0.4,9.1,3,Consider as Option,78.0
Bioplastic (PLA),55.6,1.2,91.3,2.01,40.3,8,Highly Recommended,163.2
Recycled Cardboard,19.6,2.9,90.5,1.37,82.8,4,Highly Recommended,88.2
Recycled Cardboard,19.3,7.5,91.0,0.97,93.0,3,Highly Recommended,128.6
Bagasse (Sugarcane),27.3,7.0,99.3,1.05,69.9,5,Highly Recommended,149.6
Bamboo Fiber,42.8,8.1,97.3,0.81,33.2,7,Highly Recommended,201.6
Aluminum Foil,43.1,1.2,0.0,10.09,95.9,10,Avoid,148.2
Virgin Plastic (PP),71.4,9.0,2.7,5.76,23.3,10,Avoid,282.8
Recycled Cardboard,17.9,8.0,93.8,1.1,99.4,5,Highly Recommended,140.8
Bioplastic (PLA),65.1,3.6,89.0,1.55,55.7,9,Highly Recommended,211.2
Virgin Plastic (PP),62.5,1.0,0.7,5.73,18.5,10,Avoid,185.0
Bamboo Fiber,49.6,2.7,97.2,0.97,48.0,8,Highly Recommended,166.2
Aluminum Foil,28.9,3.9,0.0,10.64,99.4,10,Avoid,146.8
Mushroom Mycelium,14.5,1.4,100.0,0.24,100.0,6,Highly Recommended,73.0
Bagasse (Sugarcane),37.4,8.8,95.9,1.18,55.7,5,Highly Recommended,187.8
Bioplastic (PLA),57.8,7.1,89.6,1.75,54.3,8,Highly Recommended,226.6
Bagasse (Sugarcane),20.4,8.9,99.0,1.14,51.8,6,Highly Recommended,159.8
Recycled Cardboard,15.8,7.1,97.8,1.14,88.1,4,Highly Recommended,122.6
Virgin Plastic (PP),88.5,1.0,4.5,4.12,25.5,10,Avoid,237.0
Bamboo Fiber,41.8,3.8,98.3,1.01,48.9,6,Highly Recommended,151.6
Bioplastic (PLA),54.1,9.2,85.2,2.34,46.1,9,Consider as Option,245.2
Edible Seaweed Film,13.5,7.7,100.0,0.46,4.6,4,Consider as Option,124.0
Bioplastic (PLA),60.7,7.1,88.3,1.72,45.3,9,Highly Recommended,237.4
Aluminum Foil,29.4,2.6,0.0,10.35,99.7,10,Avoid,134.8
Aluminum Foil,21.1,4.4,0.0,11.55,95.8,10,Avoid,136.2
Aluminum Foil,23.0,1.7,0.0,10.2,98.1,10,Avoid,113.0
Recycled Cardboard,24.7,7.9,95.9,1.09,83.8,4,Highly Recommended,148.4
Recycled Cardboard,18.8,2.1,91.8,1.1,93.1,3,Highly Recommended,73.6
Bagasse (Sugarcane),26.9,6.8,95.4,0.98,61.3,5,Highly Recommended,146.8
Virgin Plastic (PP),62.1,6.0,0.4,4.45,29.8,10,Avoid,234.2
Edible Seaweed Film,7.4,8.8,100.0,0.42,0.6,4,Consider as Option,122.8
Mushroom Mycelium,15.4,4.4,100.0,0.29,100.0,6,Highly Recommended,104.8
Aluminum Foil,45.0,5.4,0.0,10.4,93.2,10,Avoid,194.0
Recycled Cardboard,33.1,10.0,92.1,0.88,81.8,5,Highly Recommended,191.2
Bioplastic (PLA),61.4,6.8,81.5,2.29,51.1,8,Consider as Option,230.8
Edible Seaweed Film,9.5,5.6,100.0,0.39,5.9,4,Consider as Option,95.0
Bamboo Fiber,42.1,6.0,95.3,0.8,40.0,8,Highly Recommended,184.2
Aluminum Foil,36.8,7.2,0.0,11.7,97.9,10,Avoid,195.6
Aluminum Foil,39.9,4.0,0.0,9.4,90.5,10,Avoid,169.8
Aluminum Foil,44.0,7.3,0.0,9.85,97.7,10,Avoid,211.0
Bamboo Fiber,57.4,2.9,97.7,1.14,42.8,6,Highly Recommended,173.8
Recycled Cardboard,24.8,6.5,94.1,0.93,88.4,3,Highly Recommended,129.6
Aluminum Foil,42.7,0.7,0.0,11.61,91.3,10,Avoid,142.4
Aluminum Foil,21.7,8.8,0.0,9.52,94.7,10,Avoid,181.4
Bamboo Fiber,42.3,1.3,98.7,1.16,45.9,8,Highly Recommended,137.6
Bagasse (Sugarcane),21.7,3.5,99.0,1.18,64.9,6,Highly Recommended,108.4
Mushroom Mycelium,16.8,5.9,100.0,0.19,100.0,4,Highly Recommended,112.6
Bamboo Fiber,44.9,1.6,99.2,0.74,38.9,7,Highly Recommended,140.8
Mushroom Mycelium,22.7,1.5,100.0,0.29,100.0,5,Highly Recommended,85.4
Aluminum Foil,26.1,7.5,0.0,10.24,93.7,10,Avoid,177.2
Edible Seaweed Film,9.9,1.1,100.0,0.48,8.5,4,Consider as Option,50.8
Bagasse (Sugarcane),26.7,1.7,96.4,1.33,54.9,5,Highly Recommended,95.4
Virgin Plastic (PP),60.4,4.5,3.0,5.18,26.7,10,Avoid,215.8
Recycled Cardboard,23.4,7.3,90.0,1.04,89.3,4,Highly Recommended,139.8
Aluminum Foil,30.9,0.7,0.0,9.83,91.4,10,Avoid,118.8
Mushroom Mycelium,10.8,4.0,100.0,0.22,100.0,5,Highly Recommended,86.6
Recycled Cardboard,16.2,2.2,96.0,1.3,91.0,4,Highly Recommended,74.4
Aluminum Foil,31.1,5.5,0.0,8.33,90.8,10,Avoid,167.2
Recycled Cardboard,15.7,5.7,96.7,1.38,97.4,3,Highly Recommended,103.4
Recycled Cardboard,21.8,7.7,94.4,1.45,96.8,5,Highly Recommended,145.6
Edible Seaweed Film,6.3,2.0,100.0,0.42,3.6,3,Consider as Option,47.6
Edible Seaweed Film,12.2,7.2,100.0,0.41,1.7,3,Consider as Option,111.4
Edible Seaweed Film,6.3,6.3,100.0,0.37,4.7,3,Consider as Option,90.6
Bamboo Fiber,49.8,9.3,98.2,0.55,34.7,7,Highly Recommended,227.6
Recycled Cardboard,22.9,0.6,94.6,1.02,92.1,4,Highly Recommended,71.8
Recycled Cardboard,17.3,2.6,97.9,1.33,88.6,5,Highly Recommended,85.6
Recycled Cardboard,30.3,4.2,99.8,1.44,84.2,5,Highly Recommended,127.6
Recycled Cardboard,21.7,2.3,95.1,1.44,91.4,5,Highly Recommended,91.4
Bioplastic (PLA),53.0,4.7,88.6,2.32,58.5,8,Highly Recommended,193.0
Bioplastic (PLA),68.7,2.6,88.3,2.34,46.2,8,Consider as Option,203.4
Bioplastic (PLA),74.8,3.0,85.3,2.02,42.9,9,Highly Recommended,224.6
Virgin Plastic (PP),85.8,5.9,4.9,3.75,22.9,10,Avoid,280.6
Virgin Plastic (PP),82.1,9.7,0.2,3.87,14.2,10,Avoid,311.2
Bamboo Fiber,45.3,3.6,95.9,0.75,44.5,6,Highly Recommended,156.6
Edible Seaweed Film,10.8,9.2,100.0,0.2,6.9,3,Consider as Option,128.6
Virgin Plastic (PP),86.0,7.3,0.9,5.79,21.4,10,Avoid,295.0
Bagasse (Sugarcane),38.7,7.4,98.3,1.21,63.1,5,Highly Recommended,176.4
Bamboo Fiber,50.8,3.3,99.7,0.72,33.9,8,Highly Recommended,174.6
Mushroom Mycelium,17.5,9.9,100.0,0.33,100.0,6,Highly Recommended,164.0
Virgin Plastic (PP),72.6,1.9,4.8,4.9,29.4,10,Avoid,214.2
Bioplastic (PLA),67.2,8.8,86.7,1.98,47.2,9,Highly Recommended,267.4
Aluminum Foil,21.7,3.5,0.0,9.41,95.7,10,Avoid,128.4
Aluminum Foil,25.3,3.8,0.0,9.41,96.6,10,Avoid,138.6
Bamboo Fiber,42.5,6.3,98.2,0.9,47.4,8,Highly Recommended,188.0
Bamboo Fiber,57.2,6.8,95.3,0.5,48.3,7,Highly Recommended,217.4
Bagasse (Sugarcane),30.3,4.4,95.4,1.35,64.7,6,Highly Recommended,134.6
Virgin Plastic (PP),89.9,0.9,4.2,5.71,18.7,10,Avoid,238.8
Mushroom Mycelium,23.5,7.9,100.0,0.22,100.0,4,Highly Recommended,146.0
Edible Seaweed Film,11.1,6.9,100.0,0.39,3.4,2,Consider as Option,101.2
Bagasse (Sugarcane),38.6,5.8,97.1,1.07,59.8,7,Highly Recommended,170.2
Recycled Cardboard,17.8,9.6,91.6,1.34,88.7,3,Highly Recommended,146.6
Mushroom Mycelium,20.3,1.3,100.0,0.38,100.0,6,Highly Recommended,83.6
Aluminum Foil,27.4,2.8,0.0,9.37,90.1,10,Avoid,132.8
Bamboo Fiber,49.0,6.4,97.7,0.81,30.1,8,Highly Recommended,202.0
Virgin Plastic (PP),65.7,4.9,4.0,5.09,19.7,10,Avoid,230.4
Mushroom Mycelium,18.8,8.7,100.0,0.2,100.0,6,Highly Recommended,154.6
Bioplastic (PLA),74.0,8.4,87.4,1.68,54.0,8,Highly Recommended,272.0
Mushroom Mycelium,11.4,7.9,100.0,0.39,100.0,5,Highly Recommended,126.8
Virgin Plastic (PP),63.1,3.1,2.8,4.59,15.5,10,Avoid,207.2
Bagasse (Sugarcane),23.0,4.6,98.9,1.36,54.1,7,Highly Recommended,127.0
Virgin Plastic (PP),80.3,7.4,4.7,3.65,16.9,10,Avoid,284.6
Recycled Cardboard,22.0,1.2,97.8,1.06,85.3,4,Highly Recommended,76.0
Recycled Cardboard,27.6,6.5,95.6,1.0,80.8,5,Highly Recommended,145.2
Aluminum Foil,21.2,5.4,0.0,10.95,96.3,10,Avoid,146.4
Bamboo Fiber,58.7,6.7,97.4,0.91,47.3,7,Highly Recommended,219.4
Bioplastic (PLA),71.0,8.1,81.6,2.17,58.6,8,Consider as Option,263.0
Bagasse (Sugarcane),39.3,4.5,97.9,1.04,56.8,7,Highly Recommended,158.6
Virgin Plastic (PP),61.2,6.3,3.8,5.57,11.9,10,Avoid,235.4
Bagasse (Sugarcane),37.6,6.0,96.3,1.23,62.8,5,Highly Recommended,160.2
Bagasse (Sugarcane),35.7,2.4,97.1,1.08,60.9,6,Highly Recommended,125.4
Bioplastic (PLA),70.4,4.4,92.8,2.12,55.8,8,Highly Recommended,224.8
Aluminum Foil,35.9,2.7,0.0,8.92,98.1,10,Avoid,148.8
Recycled Cardboard,20.5,2.8,90.9,0.88,91.9,4,Highly Recommended,89.0
Mushroom Mycelium,23.4,8.9,100.0,0.37,100.0,4,Highly Recommended,155.8
Bagasse (Sugarcane),31.0,1.7,95.8,1.12,69.6,5,Highly Recommended,104.0
Virgin Plastic (PP),87.3,8.4,1.6,5.2,19.6,10,Avoid,308.6
Bagasse (Sugarcane),35.9,10.0,99.6,1.03,61.0,5,Highly Recommended,196.8
Edible Seaweed Film,7.3,7.1,100.0,0.46,2.0,2,Consider as Option,95.6
Mushroom Mycelium,12.6,9.7,100.0,0.25,100.0,4,Highly Recommended,142.2
Recycled Cardboard,15.1,8.5,93.7,0.93,85.3,5,Highly Recommended,140.2
Edible Seaweed Film,7.4,9.9,100.0,0.3,1.7,2,Consider as Option,123.8
Bamboo Fiber,46.0,8.0,97.6,0.56,47.5,6,Highly Recommended,202.0
Bamboo Fiber,49.2,9.0,96.2,0.89,42.2,6,Highly Recommended,218.4
Aluminum Foil,32.1,9.6,0.0,8.02,96.6,10,Avoid,210.2
Aluminum Foil,35.2,8.9,0.0,8.26,92.7,10,Avoid,209.4
Recycled Cardboard,28.4,8.1,90.3,1.2,98.6,5,Highly Recommended,162.8
Bioplastic (PLA),64.2,9.0,82.2,2.42,53.8,9,Consider as Option,263.4
Bagasse (Sugarcane),37.6,1.2,95.1,1.27,68.9,7,Highly Recommended,122.2
Mushroom Mycelium,10.1,6.2,100.0,0.14,100.0,4,Highly Recommended,102.2
Virgin Plastic (PP),72.7,2.0,0.7,5.02,16.3,10,Avoid,215.4
Edible Seaweed Film,10.1,9.8,100.0,0.46,6.6,4,Consider as Option,138.2
Recycled Cardboard,24.7,9.5,96.4,1.44,84.4,4,Highly Recommended,164.4
Edible Seaweed Film,8.5,2.0,100.0,0.44,2.2,3,Consider as Option,52.0
Bamboo Fiber,41.4,6.8,98.3,1.13,44.2,8,Highly Recommended,190.8
Virgin Plastic (PP),75.2,1.3,4.5,5.53,10.3,10,Avoid,213.4
Aluminum Foil,34.1,9.4,0.0,9.98,91.7,10,Avoid,212.2
Virgin Plastic (PP),81.7,1.4,3.2,5.21,20.6,10,Avoid,227.4
Edible Seaweed Film,5.3,6.8,100.0,0.34,4.7,3,Consider as Option,93.6
Recycled Cardboard,19.6,6.1,91.5,0.83,86.2,3,Highly Recommended,115.2
Bamboo Fiber,56.8,6.3,96.5,1.0,39.4,8,Highly Recommended,216.6
Recycled Cardboard,22.5,8.7,92.0,1.1,91.9,3,Highly Recommended,147.0
Bagasse (Sugarcane),24.9,2.5,96.3,1.02,56.2,7,Highly Recommended,109.8
Bagasse (Sugarcane),29.9,7.7,99.1,1.17,69.7,6,Highly Recommended,166.8
Mushroom Mycelium,14.0,4.5,100.0,0.23,100.0,5,Highly Recommended,98.0
Mushroom Mycelium,20.6,3.6,100.0,0.29,100.0,4,Highly Recommended,97.2
Recycled Cardboard,26.9,1.5,90.2,1.05,83.7,4,Highly Recommended,88.8
Bioplastic (PLA),54.8,8.5,94.2,1.74,58.6,8,Highly Recommended,234.6
Virgin Plastic (PP),70.6,3.0,3.9,3.77,22.8,10,Avoid,221.2
Recycled Cardboard,31.1,2.2,96.9,1.02,94.8,5,Highly Recommended,109.2
Edible Seaweed Film,7.8,8.1,100.0,0.28,6.2,3,Consider as Option,111.6
Bamboo Fiber,58.1,8.9,95.5,0.59,31.4,6,Highly Recommended,235.2
Bagasse (Sugarcane),25.6,4.2,97.3,1.34,65.1,5,Highly Recommended,118.2
Recycled Cardboard,30.7,7.9,92.0,1.39,92.5,3,Highly Recommended,155.4
Bamboo Fiber,49.7,8.2,99.1,0.95,47.2,8,Highly Recommended,221.4
Bagasse (Sugarcane),37.4,5.9,95.4,1.11,50.1,7,Highly Recommended,168.8
Edible Seaweed Film,11.1,3.5,100.0,0.21,5.7,3,Consider as Option,72.2
Bagasse (Sugarcane),37.3,2.3,97.0,1.07,64.2,7,Highly Recommended,132.6
Mushroom Mycelium,24.3,6.9,100.0,0.31,100.0,4,Highly Recommended,137.6
Virgin Plastic (PP),65.7,6.9,4.1,5.59,25.6,10,Avoid,250.4
Edible Seaweed Film,12.9,2.3,100.0,0.41,2.5,2,Consider as Option,58.8
Bamboo Fiber,48.7,9.8,96.7,0.62,42.4,6,Highly Recommended,225.4
Bioplastic (PLA),57.2,1.0,94.8,1.52,58.8,8,Highly Recommended,164.4
Bioplastic (PLA),67.0,2.9,95.0,2.14,59.4,9,Highly Recommended,208.0
Recycled Cardboard,32.7,9.8,94.5,1.31,98.3,3,Highly Recommended,178.4
Bagasse (Sugarcane),28.3,6.4,95.0,0.94,62.4,5,Highly Recommended,145.6
Mushroom Mycelium,16.5,8.8,100.0,0.31,100.0,6,Highly Recommended,151.0
Mushroom Mycelium,17.0,0.7,100.0,0.29,100.0,4,Highly Recommended,61.0
Bamboo Fiber,56.1,9.7,96.6,0.86,37.4,6,Highly Recommended,239.2
Aluminum Foil,26.9,7.7,0.0,8.75,93.0,10,Avoid,180.8
Virgin Plastic (PP),78.4,0.8,0.7,3.69,18.3,10,Avoid,214.8
Bamboo Fiber,55.8,4.9,99.3,1.0,38.2,6,Highly Recommended,190.6
Recycled Cardboard,30.2,2.8,93.2,0.87,99.2,3,Highly Recommended,103.4
Bagasse (Sugarcane),37.2,3.3,96.1,1.06,67.2,7,Highly Recommended,142.4
Bagasse (Sugarcane),31.8,9.7,95.7,1.23,52.5,6,Highly Recommended,190.6
Aluminum Foil,38.6,1.6,0.0,10.21,94.9,10,Avoid,143.2
Bagasse (Sugarcane),36.3,4.9,99.2,1.24,50.0,7,Highly Recommended,156.6
Bamboo Fiber,40.9,3.2,96.0,0.76,34.3,7,Highly Recommended,148.8
Bamboo Fiber,51.8,6.3,99.4,0.97,31.8,8,Highly Recommended,206.6
Bamboo Fiber,50.5,0.6,95.2,0.77,43.1,6,Highly Recommended,137.0
Aluminum Foil,33.4,9.1,0.0,9.97,97.6,10,Avoid,207.8
Aluminum Foil,35.9,3.6,0.0,10.53,97.4,10,Avoid,157.8
Mushroom Mycelium,18.1,4.8,100.0,0.14,100.0,5,Highly Recommended,109.2
Recycled Cardboard,27.3,2.4,97.1,1.03,89.3,4,Highly Recommended,98.6
Bagasse (Sugarcane),23.5,7.8,97.4,0.95,53.2,5,Highly Recommended,150.0
Bamboo Fiber,58.7,8.0,97.2,0.91,40.3,8,Highly Recommended,237.4
Bioplastic (PLA),62.6,9.8,82.1,1.79,43.2,8,Consider as Option,263.2
Recycled Cardboard,17.0,6.4,93.9,0.93,95.4,4,Highly Recommended,118.0
Bioplastic (PLA),52.7,8.1,88.5,2.23,55.9,8,Highly Recommended,226.4
Bamboo Fiber,42.4,2.9,96.5,0.88,35.8,7,Highly Recommended,148.8
Recycled Cardboard,33.3,8.9,95.2,0.92,88.2,4,Highly Recommended,175.6
Mushroom Mycelium,16.5,9.7,100.0,0.21,100.0,4,Highly Recommended,150.0
Virgin Plastic (PP),61.3,0.8,0.3,4.94,20.1,10,Avoid,180.6
Aluminum Foil,35.3,5.7,0.0,11.55,97.0,10,Avoid,177.6
Aluminum Foil,30.2,1.4,0.0,10.39,98.7,10,Avoid,124.4
Edible Seaweed Film,7.4,3.3,100.0,0.5,0.3,4,Consider as Option,67.8
Mushroom Mycelium,16.7,8.9,100.0,0.34,100.0,6,Highly Recommended,152.4
Aluminum Foil,38.9,8.2,0.0,11.27,93.6,10,Avoid,209.8
Bagasse (Sugarcane),27.9,8.8,99.6,1.27,56.4,7,Highly Recommended,178.8
Bioplastic (PLA),68.1,6.0,87.5,2.12,41.9,9,Highly Recommended,241.2
Aluminum Foil,40.0,7.9,0.0,11.08,97.5,10,Avoid,209.0
Bamboo Fiber,55.7,8.5,97.8,0.82,46.4,6,Highly Recommended,226.4
Virgin Plastic (PP),81.0,3.9,0.3,4.08,12.2,10,Avoid,251.0
Recycled Cardboard,23.8,7.2,95.1,0.95,98.2,5,Highly Recommended,144.6
Edible Seaweed Film,7.5,0.6,100.0,0.39,4.4,3,Consider as Option,36.0
Bamboo Fiber,53.2,2.9,95.4,1.08,31.1,7,Highly Recommended,170.4
Bagasse (Sugarcane),32.5,9.5,95.7,1.24,55.5,5,Highly Recommended,185.0
Mushroom Mycelium,24.6,7.4,100.0,0.23,100.0,4,Highly Recommended,143.2
Virgin Plastic (PP),76.8,2.5,3.6,5.53,29.4,10,Avoid,228.6
Bagasse (Sugarcane),33.5,6.5,95.0,1.16,67.5,7,Highly Recommended,167.0
Mushroom Mycelium,21.4,4.2,100.0,0.31,100.0,4,Highly Recommended,104.8
Recycled Cardboard,33.2,7.8,95.6,1.19,80.2,3,Highly Recommended,159.4
Bagasse (Sugarcane),29.7,2.8,95.4,1.29,67.0,7,Highly Recommended,122.4
Bagasse (Sugarcane),34.5,2.8,96.5,1.31,57.4,5,Highly Recommended,122.0
Bioplastic (PLA),52.7,5.4,90.4,1.97,51.4,9,Highly Recommended,204.4
Aluminum Foil,24.2,9.6,0.0,8.8,94.7,10,Avoid,194.4
Bamboo Fiber,41.9,1.7,96.9,0.59,46.7,8,Highly Recommended,140.8
Bioplastic (PLA),74.4,3.2,89.4,2.39,44.3,8,Consider as Option,220.8
Bioplastic (PLA),61.3,0.8,82.0,2.37,55.7,9,Highly Recommended,175.6
Bioplastic (PLA),74.2,8.1,90.6,2.15,48.2,8,Highly Recommended,269.4
Edible Seaweed Film,8.6,1.9,100.0,0.24,3.6,4,Consider as Option,56.2
Recycled Cardboard,32.4,9.7,97.3,1.0,97.6,5,Highly Recommended,186.8
Edible Seaweed Film,6.4,1.5,100.0,0.58,6.1,2,Consider as Option,37.8
Recycled Cardboard,23.1,1.0,97.7,1.31,89.9,3,Highly Recommended,71.2
Bioplastic (PLA),60.8,1.1,93.0,2.16,51.3,9,Highly Recommended,177.6
Bamboo Fiber,42.0,6.0,97.9,0.91,30.5,7,Highly Recommended,179.0
Recycled Cardboard,34.1,4.7,98.2,1.35,80.2,5,Highly Recommended,140.2
Mushroom Mycelium,20.8,9.7,100.0,0.32,100.0,5,Highly Recommended,163.6
Virgin Plastic (PP),76.1,5.1,4.1,3.63,20.9,10,Avoid,253.2
Bagasse (Sugarcane),22.2,3.0,98.7,1.04,67.4,7,Highly Recommended,109.4
Mushroom Mycelium,22.3,9.7,100.0,0.21,100.0,6,Highly Recommended,171.6
Bamboo Fiber,40.2,4.5,96.3,0.55,36.3,6,Highly Recommended,155.4
Virgin Plastic (PP),79.0,4.5,1.0,5.13,20.9,10,Avoid,253.0
Mushroom Mycelium,18.5,6.1,100.0,0.13,100.0,5,Highly Recommended,123.0
Bagasse (Sugarcane),30.6,1.6,98.3,1.19,62.7,5,Highly Recommended,102.2
Bioplastic (PLA),63.1,8.7,82.4,2.06,43.9,9,Consider as Option,258.2
Mushroom Mycelium,11.0,4.3,100.0,0.38,100.0,5,Highly Recommended,90.0
Bagasse (Sugarcane),38.7,7.7,98.7,1.1,69.7,5,Highly Recommended,179.4
Virgin Plastic (PP),66.0,4.6,3.8,5.57,18.2,10,Avoid,228.0
Bagasse (Sugarcane),32.3,7.8,95.9,1.15,54.9,6,Highly Recommended,172.6
Edible Seaweed Film,10.9,9.2,100.0,0.24,0.1,2,Consider as Option,123.8
Aluminum Foil,41.7,2.6,0.0,9.85,99.8,10,Avoid,159.4
Aluminum Foil,25.5,8.5,0.0,9.13,93.6,10,Avoid,186.0
Virgin Plastic (PP),82.2,7.6,3.7,5.49,16.4,10,Avoid,290.4
Bioplastic (PLA),56.3,0.9,90.9,2.12,43.4,8,Highly Recommended,161.6
Bamboo Fiber,46.8,1.9,95.8,0.73,35.4,8,Highly Recommended,152.6
Bagasse (Sugarcane),38.6,8.8,95.5,1.06,69.6,7,Highly Recommended,200.2
Bioplastic (PLA),71.5,6.6,88.7,1.93,48.3,9,Highly Recommended,254.0
Recycled Cardboard,16.9,1.0,94.9,0.85,98.3,5,Highly Recommended,68.8
Aluminum Foil,27.4,3.0,0.0,10.84,96.5,10,Avoid,134.8
Edible Seaweed Film,13.6,8.0,100.0,0.4,5.4,4,Consider as Option,127.2
Bioplastic (PLA),50.1,6.7,81.9,2.48,52.3,9,Consider as Option,212.2
Mushroom Mycelium,12.1,2.6,100.0,0.13,100.0,4,Highly Recommended,70.2
Mushroom Mycelium,22.8,7.9,100.0,0.14,100.0,6,Highly Recommended,154.6
Virgin Plastic (PP),69.9,9.0,4.0,4.19,14.5,10,Avoid,279.8
Bagasse (Sugarcane),20.4,9.5,99.3,1.38,61.5,7,Highly Recommended,170.8
Aluminum Foil,29.4,6.6,0.0,11.72,99.0,10,Avoid,174.8
