Material Type,Strength_Mpa,Weight_Capacity_Kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_percent,Cost_per_kg,Moisture_Resistance_percent,Temperature Tolerance (°C),Compostable (Yes/No),Shelf Life Impact Score (1-10),Typical Food Use Case
Paper-based,67.41,4.47,88.3,6.368,31.0,3.69,42.3,52.4,Yes,5,Beverage Bottles
Inorganic,126.59,4.38,75.5,0.0,51.4,2.87,59.5,70.0,Yes,8,Takeaway Boxes
Wood-based,24.67,5.94,21.5,6.805,47.5,2.95,93.6,97.4,No,10,Plates
Inorganic,87.16,4.18,48.4,4.658,54.3,4.86,61.1,61.4,No,10,Crates
Biodegradable Polymer,83.09,6.82,61.7,3.628,67.7,4.01,53.5,76.7,Yes,1,Cutlery
Metal,61.82,10.25,42.9,6.558,53.8,2.5,95.8,-4.2,No,10,Dissolvable Pouches
Synthetic Polymer,147.73,5.29,70.9,7.164,52.6,2.34,76.7,73.0,Yes,2,Food Trays
Biopolymer,61.26,8.52,32.7,2.903,45.2,0.09,74.7,53.1,No,6,Bowls
Biopolymer,42.87,6.34,22.9,6.116,50.6,1.05,37.4,15.8,No,3,Bowls
Natural Fiber,114.95,0.1,91.6,4.834,53.3,4.32,73.5,-20.0,Yes,7,Cereal Boxes
Inorganic,102.16,6.34,18.2,0.0,51.2,4.52,58.5,-2.5,No,9,Takeaway Boxes
Biodegradable Polymer,50.68,5.44,0.0,4.066,33.7,2.13,0.0,33.1,No,5,Takeaway Boxes
Paper-based,106.96,7.75,80.1,4.415,53.7,6.11,41.3,85.9,Yes,5,Wraps
Inorganic,130.16,11.57,100.0,1.129,87.6,3.71,57.8,42.2,Yes,7,Takeaway Boxes
Wood-based,172.54,5.18,36.1,4.588,62.7,4.09,65.6,56.0,No,6,Dissolvable Pouches
Metal,72.57,4.95,100.0,5.121,57.5,2.87,40.9,55.2,Yes,5,Cereal Boxes
Synthetic Polymer,106.51,12.64,16.5,5.362,70.3,3.67,24.5,57.7,No,7,Dissolvable Pouches
Biodegradable Polymer,70.18,6.2,54.9,7.018,59.4,2.88,58.1,79.3,Yes,6,Dissolvable Pouches
Biodegradable Polymer,51.36,9.93,26.4,0.0,61.3,5.0,45.9,27.3,No,3,Edible Wraps
Bio-Composite,57.13,2.21,49.7,4.029,6.7,3.86,65.3,16.2,No,10,Cereal Boxes
Natural Fiber,140.26,3.65,3.8,7.493,90.9,4.85,19.2,103.3,No,9,Plates
Wood-based,167.53,8.53,70.7,6.557,79.6,0.69,58.4,-20.0,Yes,9,Bakery Packaging
Natural Fiber,126.06,6.74,41.7,8.162,51.1,2.24,62.9,44.0,No,3,Cutlery
Natural Fiber,124.14,8.24,62.3,4.989,44.3,3.56,86.3,43.2,Yes,1,Cutlery
Paper-based,105.44,4.73,33.1,5.322,42.4,2.93,100.0,31.2,No,7,Edible Wraps
Biopolymer,105.65,5.3,30.0,5.122,61.1,3.13,71.9,-7.3,No,5,Wraps
Synthetic Polymer,101.77,5.44,63.5,9.832,89.2,3.58,86.1,-20.0,Yes,7,Plates
Biopolymer,83.75,5.77,40.7,6.909,28.8,2.55,44.1,-20.0,No,4,Food Trays
Bio-Composite,93.13,6.86,43.3,3.402,63.4,2.35,97.5,33.2,No,5,Produce Wraps
Paper-based,35.96,4.36,48.1,5.996,16.4,3.01,57.6,31.4,No,9,Cutlery
Biopolymer,63.55,6.83,78.4,4.14,89.0,3.76,84.1,66.6,Yes,4,Edible Wraps
Paper-based,123.6,4.12,64.7,4.125,60.1,0.52,22.1,117.6,Yes,4,Containers
Paper-based,28.43,9.07,100.0,5.894,78.3,3.14,59.8,28.7,Yes,6,Cereal Boxes
Biopolymer,84.26,7.94,80.4,0.652,47.1,2.06,51.2,56.0,Yes,3,Crates
Plant-based Polymer,44.98,7.18,61.7,7.448,3.8,2.01,78.5,60.9,Yes,5,Cereal Boxes
Natural Fiber,119.57,8.92,78.2,6.427,58.3,0.17,70.0,26.7,Yes,5,Cutlery
Bio-Composite,66.56,12.74,34.8,2.09,11.1,5.73,56.6,-9.7,No,3,Cushion Packaging
Wood-based,112.99,10.82,100.0,9.857,20.9,0.34,93.4,60.4,Yes,2,Cereal Boxes
Biopolymer,5.1,7.27,53.0,2.704,33.9,2.63,98.8,8.3,Yes,1,Edible Wraps
Inorganic,32.95,9.56,85.5,5.106,29.5,3.88,71.0,58.7,Yes,1,Plates
Metal,60.25,6.8,39.9,1.72,67.9,2.68,75.8,41.9,No,6,Plates
Metal,82.31,9.86,40.7,4.085,100.0,3.56,58.3,32.6,No,9,Plates
Paper-based,83.53,9.12,16.9,0.0,27.4,0.15,38.3,93.1,No,5,Beverage Bottles
Plant-based Polymer,94.91,4.97,86.5,4.513,66.1,4.26,64.0,55.6,Yes,4,Takeaway Boxes
Synthetic Polymer,84.31,6.8,9.9,8.925,77.2,1.03,41.2,66.6,No,8,Dissolvable Pouches
Metal,32.76,5.78,73.5,7.16,57.1,3.95,59.1,22.5,Yes,1,Wraps
Biodegradable Polymer,131.45,0.1,88.9,6.945,87.3,4.47,66.1,-2.9,Yes,6,Takeaway Boxes
Synthetic Polymer,44.76,4.97,42.5,10.665,44.4,0.01,63.0,88.7,No,8,Food Trays
Paper-based,77.76,3.33,32.6,5.601,85.1,0.01,30.3,1.4,No,7,Wraps
Bio-Composite,145.3,2.34,0.0,6.732,71.6,0.63,74.1,97.2,No,6,Plates
Metal,70.44,2.31,32.1,1.519,54.1,0.51,63.1,109.3,No,9,Bakery Packaging
Natural Polymer,72.29,12.95,72.5,7.253,37.0,3.7,34.4,26.8,Yes,1,Bakery Packaging
Plant-based Polymer,76.24,8.1,25.1,3.406,17.7,0.2,51.8,14.1,No,6,Cushion Packaging
Natural Fiber,96.76,14.21,33.7,2.443,49.0,1.16,52.1,-6.1,No,3,Containers
Wood-based,69.03,1.34,3.0,4.718,14.7,3.39,56.0,69.3,No,5,Food Trays
Natural Polymer,73.98,10.76,11.1,7.81,43.2,3.79,17.4,106.3,No,7,Bakery Packaging
Biodegradable Polymer,41.79,0.1,0.0,4.638,60.3,2.83,46.6,89.3,No,9,Bakery Packaging
Inorganic,96.4,6.15,0.0,1.026,80.5,3.44,75.0,62.7,No,7,Containers
Natural Fiber,54.25,3.36,45.1,2.647,69.7,3.84,89.5,9.0,No,6,Takeaway Boxes
Natural Polymer,36.71,5.58,54.1,6.235,53.1,0.01,71.6,104.1,Yes,4,Dissolvable Pouches
Biopolymer,81.87,5.14,51.3,7.615,32.1,2.5,28.7,108.2,Yes,1,Cereal Boxes
Metal,73.41,5.57,50.3,1.796,98.0,0.44,77.8,24.5,Yes,4,Edible Wraps
Natural Fiber,109.8,2.3,82.7,7.163,40.4,1.83,47.4,-2.6,Yes,1,Wraps
Wood-based,118.25,6.72,81.3,4.706,47.0,5.73,67.0,-10.8,Yes,8,Containers
Plant-based Polymer,87.76,5.06,83.5,8.704,81.5,3.8,67.3,26.0,Yes,10,Dissolvable Pouches
Natural Fiber,108.58,13.26,48.6,8.382,73.2,4.04,60.1,47.9,No,6,Cutlery
Biodegradable Polymer,41.99,3.06,65.2,6.227,48.2,2.98,33.6,0.9,Yes,2,Cereal Boxes
Biopolymer,87.02,2.89,64.6,4.895,41.8,4.21,53.1,43.3,Yes,8,Bowls
Plant-based Polymer,50.76,7.36,50.9,4.689,100.0,1.76,89.3,89.8,Yes,10,Dissolvable Pouches
Paper-based,103.82,3.07,56.8,5.837,46.9,2.88,64.9,75.8,Yes,2,Dissolvable Pouches
Inorganic,96.84,4.22,19.6,3.258,70.4,3.37,59.2,24.4,No,5,Plates
Natural Polymer,83.06,5.44,42.3,8.12,34.9,1.66,48.6,34.8,No,8,Cushion Packaging
Synthetic Polymer,115.13,3.57,48.4,4.165,74.0,2.15,74.8,1.9,No,4,Crates
Natural Fiber,3.35,4.87,91.7,5.5,62.1,1.38,65.1,69.2,Yes,6,Cutlery
Synthetic Polymer,100.95,11.0,23.0,12.272,63.2,2.31,76.7,111.2,No,4,Cushion Packaging
Natural Fiber,62.74,1.27,77.5,10.184,19.9,3.49,63.5,71.8,Yes,3,Bakery Packaging
Natural Fiber,72.22,4.03,7.2,0.0,54.8,2.75,37.4,36.3,No,2,Dissolvable Pouches
Natural Polymer,93.36,8.52,50.8,8.502,59.7,3.23,64.4,20.8,Yes,10,Crates
Synthetic Polymer,75.63,7.91,50.1,9.69,68.3,2.86,36.3,45.7,Yes,5,Wraps
Biopolymer,84.58,7.19,0.0,4.738,29.9,2.78,75.4,93.2,No,3,Bakery Packaging
Natural Polymer,49.95,5.32,39.6,4.544,51.1,1.65,29.9,55.3,No,6,Beverage Bottles
Bio-Composite,78.5,8.68,58.0,8.062,48.5,2.54,63.2,72.7,Yes,4,Wraps
Natural Fiber,33.37,7.2,84.2,6.316,37.9,3.15,86.6,63.3,Yes,7,Food Trays
Natural Fiber,44.7,5.41,36.4,7.951,54.0,1.12,88.4,-20.0,No,5,Cutlery
Wood-based,115.8,5.78,100.0,1.855,14.1,0.63,45.5,42.6,Yes,7,Plates
Bio-Composite,112.91,12.38,87.6,2.664,37.6,1.95,37.7,21.3,Yes,7,Containers
Natural Fiber,103.67,6.5,34.2,5.309,47.4,4.01,29.8,21.1,No,6,Beverage Bottles
Synthetic Polymer,111.03,6.23,36.5,0.574,55.4,3.44,52.0,82.6,No,6,Containers
Synthetic Polymer,107.77,5.78,11.1,6.513,86.9,3.59,90.2,8.4,No,1,Containers
Wood-based,131.88,11.0,0.0,0.061,55.3,4.0,27.0,58.9,No,7,Food Trays
Synthetic Polymer,139.23,8.41,87.6,1.536,85.2,2.24,68.0,59.5,Yes,9,Containers
Biodegradable Polymer,1.0,5.98,49.0,5.709,100.0,3.29,69.4,-20.0,No,7,Dissolvable Pouches
Synthetic Polymer,110.96,1.73,56.1,3.521,74.5,2.59,71.1,59.8,Yes,5,Cutlery
Metal,105.36,3.44,99.8,10.119,81.4,1.49,72.3,38.8,Yes,10,Takeaway Boxes
Plant-based Polymer,96.84,3.05,77.0,5.448,34.5,1.92,15.7,20.4,Yes,7,Beverage Bottles
Wood-based,109.08,5.68,30.1,6.521,81.4,5.31,54.9,-9.2,No,9,Bakery Packaging
Wood-based,43.24,6.32,15.0,7.492,67.3,1.68,46.1,24.4,No,10,Cutlery
Biodegradable Polymer,64.41,5.97,85.7,4.2,30.8,5.29,13.0,11.4,Yes,4,Containers
Paper-based,35.6,4.29,70.9,7.199,47.2,1.76,47.6,104.9,Yes,9,Food Trays
Biodegradable Polymer,75.63,0.93,0.0,2.952,100.0,2.62,71.4,34.3,No,4,Cushion Packaging
Synthetic Polymer,73.41,0.1,47.8,3.528,16.1,2.17,92.9,56.9,No,6,Plates
Metal,34.16,6.29,34.5,6.145,51.3,4.73,53.3,33.9,No,4,Bakery Packaging
Inorganic,198.6,5.99,62.4,4.139,50.2,3.97,71.0,114.8,Yes,7,Edible Wraps
Bio-Composite,123.86,5.75,40.1,2.213,57.4,2.98,50.3,53.9,No,5,Takeaway Boxes
Natural Fiber,1.0,7.91,54.5,1.759,81.1,3.66,36.9,44.5,Yes,5,Food Trays
Natural Fiber,116.42,11.17,52.6,3.528,64.4,0.14,83.8,35.4,Yes,6,Takeaway Boxes
Inorganic,34.2,2.4,77.8,4.517,67.7,0.47,38.5,131.5,Yes,3,Edible Wraps
Natural Fiber,58.9,6.04,84.6,3.878,54.1,1.87,66.3,62.8,Yes,10,Takeaway Boxes
Wood-based,1.0,3.04,43.2,3.174,55.3,2.86,32.7,23.4,No,5,Cutlery
Wood-based,83.1,7.08,85.4,10.325,69.0,2.17,66.7,-20.0,Yes,1,Crates
Natural Fiber,77.76,8.14,14.1,3.726,25.2,4.45,50.9,59.2,No,9,Cushion Packaging
Wood-based,134.64,2.6,17.0,5.946,38.7,3.79,44.2,49.1,No,2,Food Trays
Paper-based,32.24,7.5,0.0,8.055,51.6,4.17,92.1,90.2,No,2,Cereal Boxes
Synthetic Polymer,35.77,6.82,39.2,0.274,64.0,1.46,50.0,117.5,No,5,Produce Wraps
Bio-Composite,50.69,11.5,0.0,5.045,56.1,2.87,73.3,50.1,No,8,Cereal Boxes
Bio-Composite,93.37,11.45,39.5,5.3,53.7,4.19,50.1,-20.0,No,7,Cutlery
Wood-based,1.0,3.12,50.9,0.753,68.6,2.1,40.9,79.9,Yes,5,Bowls
Biodegradable Polymer,99.73,7.68,82.8,5.075,89.4,3.35,66.6,-4.0,Yes,7,Cutlery
Wood-based,82.65,12.13,53.7,4.425,45.0,0.9,39.5,111.4,Yes,5,Edible Wraps
Wood-based,167.5,4.24,50.9,5.575,100.0,2.35,58.9,-20.0,Yes,8,Edible Wraps
Biopolymer,70.99,9.53,2.6,5.13,62.2,2.37,53.7,101.5,No,8,Cutlery
Inorganic,75.14,5.25,0.0,2.957,61.3,1.46,91.3,-20.0,No,4,Takeaway Boxes
Plant-based Polymer,96.13,1.37,72.5,5.121,72.3,4.8,72.8,-14.0,Yes,8,Takeaway Boxes
Synthetic Polymer,58.02,10.3,50.1,6.403,61.6,0.01,45.8,85.6,Yes,8,Beverage Bottles
Paper-based,85.66,6.32,0.0,6.99,48.3,1.81,30.5,88.0,No,4,Produce Wraps
Metal,48.56,8.32,13.7,6.209,70.1,4.51,44.4,12.8,No,2,Takeaway Boxes
Metal,49.94,7.38,97.8,4.776,49.1,5.31,86.5,78.0,Yes,5,Wraps
Wood-based,64.65,4.88,64.8,7.04,12.6,2.59,30.3,47.5,Yes,2,Crates
Biopolymer,14.8,10.98,65.1,5.906,74.5,3.29,100.0,60.4,Yes,5,Cutlery
Biopolymer,87.93,2.98,51.9,1.864,39.2,3.45,62.2,53.3,Yes,6,Edible Wraps
Synthetic Polymer,99.99,6.37,57.6,3.269,69.0,3.03,32.6,11.8,Yes,4,Bowls
Bio-Composite,122.16,5.43,12.4,4.879,51.9,5.3,76.4,69.8,No,10,Bowls
Natural Polymer,58.08,8.2,18.4,4.92,57.5,5.91,50.8,90.8,No,2,Bowls
Biodegradable Polymer,117.47,8.27,80.0,6.43,36.5,0.01,54.5,30.9,Yes,3,Bowls
Wood-based,24.84,7.76,43.1,5.247,42.9,0.01,45.5,100.9,No,5,Bowls
Inorganic,33.09,6.34,0.0,2.964,46.6,6.12,65.2,11.2,No,8,Bowls
Bio-Composite,15.49,10.37,33.4,9.375,79.8,1.04,100.0,41.5,No,8,Beverage Bottles
Synthetic Polymer,73.0,1.63,27.9,6.234,61.6,1.7,32.3,-3.4,No,4,Edible Wraps
Biopolymer,62.22,9.66,56.9,2.659,76.5,1.49,22.7,57.9,Yes,2,Beverage Bottles
Natural Fiber,44.77,7.92,63.2,5.695,72.0,2.37,78.9,28.7,Yes,9,Cutlery
Natural Fiber,88.74,6.38,4.4,2.515,81.6,1.88,47.8,93.5,No,1,Cereal Boxes
Synthetic Polymer,144.03,11.39,65.7,3.119,14.7,3.29,7.4,79.4,Yes,3,Bakery Packaging
Biodegradable Polymer,115.33,3.38,1.2,5.841,46.6,1.9,66.9,52.5,No,6,Cutlery
Biodegradable Polymer,101.72,8.31,70.0,10.419,100.0,3.75,62.8,22.8,Yes,4,Food Trays
Paper-based,30.8,9.9,45.2,6.878,35.9,1.41,59.3,16.7,No,7,Bakery Packaging
Inorganic,117.73,2.16,48.5,0.0,65.0,3.23,44.2,43.1,No,4,Bowls
Bio-Composite,100.82,6.7,76.0,6.206,41.4,0.71,87.5,26.4,Yes,3,Containers
Natural Polymer,131.69,0.1,56.8,2.379,32.4,1.06,70.1,86.7,Yes,5,Cereal Boxes
Plant-based Polymer,82.85,0.29,57.3,3.029,44.4,1.43,84.1,89.5,Yes,5,Cereal Boxes
Natural Fiber,100.65,7.99,0.0,1.309,29.5,1.82,65.7,-20.0,No,9,Food Trays
Biodegradable Polymer,90.67,4.97,26.2,3.762,41.4,4.52,46.7,36.4,No,4,Bowls
Paper-based,97.68,10.1,25.5,5.139,62.5,2.42,55.4,49.9,No,2,Dissolvable Pouches
Bio-Composite,97.42,7.51,85.1,3.63,58.9,2.4,55.4,74.7,Yes,10,Cereal Boxes
Synthetic Polymer,54.91,6.49,32.7,2.007,0.0,2.53,83.4,39.9,No,3,Cereal Boxes
Natural Polymer,30.2,6.3,36.3,1.425,82.1,5.2,11.4,48.8,No,6,Food Trays
Metal,108.62,6.49,15.9,3.827,37.8,0.94,85.9,30.2,No,10,Beverage Bottles
Natural Fiber,63.12,4.04,12.9,6.939,91.0,1.42,54.6,21.0,No,6,Food Trays
Biodegradable Polymer,62.79,5.43,39.2,6.842,41.1,4.41,19.0,67.4,No,8,Beverage Bottles
Paper-based,78.44,5.31,45.1,7.352,65.8,3.49,100.0,54.5,No,7,Wraps
Bio-Composite,109.63,3.63,42.6,3.228,74.7,0.74,55.5,19.0,No,2,Dissolvable Pouches
Wood-based,92.32,9.0,26.0,4.621,54.9,3.51,29.1,44.0,No,1,Dissolvable Pouches
Natural Polymer,52.39,4.86,40.6,8.64,43.5,3.98,100.0,-3.5,No,7,Bowls
Synthetic Polymer,62.57,9.48,89.2,8.459,77.6,0.84,57.0,95.2,Yes,8,Dissolvable Pouches
Paper-based,77.74,8.2,46.2,5.314,51.2,2.25,52.8,75.4,No,6,Takeaway Boxes
Paper-based,7.88,0.1,99.2,3.795,70.9,0.01,17.1,64.0,Yes,4,Food Trays
Paper-based,71.28,6.25,69.1,3.201,64.2,0.01,82.8,-19.1,Yes,7,Dissolvable Pouches
Wood-based,76.3,12.72,0.0,5.008,19.5,3.47,80.2,-20.0,No,8,Edible Wraps
Natural Polymer,95.64,9.35,13.8,1.548,30.2,0.87,68.3,74.9,No,9,Beverage Bottles
Bio-Composite,40.36,5.82,49.2,7.641,91.4,0.73,45.1,35.0,No,2,Beverage Bottles
Plant-based Polymer,79.22,8.43,22.6,3.779,78.7,2.59,36.1,49.3,No,1,Dissolvable Pouches
Natural Fiber,101.52,6.79,25.8,3.352,37.1,3.48,44.8,93.4,No,5,Produce Wraps
Bio-Composite,24.26,5.99,54.0,6.496,19.9,1.51,76.0,92.3,Yes,6,Bakery Packaging
Paper-based,124.14,3.63,58.5,3.095,57.0,2.25,57.7,30.4,Yes,5,Bowls
Inorganic,68.01,6.55,100.0,0.0,81.8,2.37,48.8,133.3,Yes,5,Cereal Boxes
Bio-Composite,123.9,6.69,16.0,6.897,52.5,3.47,17.9,53.0,No,4,Crates
Biodegradable Polymer,95.83,4.44,31.8,3.214,30.9,1.4,42.3,62.3,No,2,Containers
Biopolymer,76.64,12.13,43.7,4.993,53.4,1.13,78.9,61.1,No,8,Bakery Packaging
Synthetic Polymer,33.8,3.67,85.2,8.879,63.0,0.01,56.6,-1.0,Yes,10,Bowls
Metal,34.14,0.94,33.4,8.355,33.5,0.95,53.0,89.4,No,8,Edible Wraps
Paper-based,80.25,10.75,43.4,4.693,54.0,2.9,64.2,25.3,No,4,Edible Wraps
Wood-based,110.86,3.96,46.3,1.82,59.6,2.81,37.7,54.7,No,10,Containers
Natural Fiber,41.18,4.89,49.1,8.278,42.1,3.24,81.4,5.6,No,4,Food Trays
Wood-based,100.45,5.22,33.5,5.561,52.4,3.05,44.4,91.6,No,5,Cereal Boxes
Biodegradable Polymer,68.98,6.95,45.8,0.0,32.1,3.26,62.0,63.5,No,1,Cushion Packaging
Plant-based Polymer,129.67,9.52,65.6,6.227,71.7,3.33,64.9,63.4,Yes,10,Plates
Paper-based,32.68,4.18,89.0,3.2,100.0,3.01,68.9,29.6,Yes,3,Crates
Natural Polymer,47.5,4.71,85.2,3.812,45.7,0.49,38.9,51.9,Yes,2,Crates
Bio-Composite,108.79,4.24,37.4,1.387,34.0,4.34,62.5,23.0,No,8,Bakery Packaging
Plant-based Polymer,22.64,11.25,46.2,7.086,27.4,4.74,59.7,48.5,No,6,Edible Wraps
Synthetic Polymer,57.23,8.35,58.8,4.585,59.6,2.13,77.4,85.9,Yes,10,Produce Wraps
Biodegradable Polymer,87.97,2.65,100.0,10.873,25.6,1.84,67.7,8.0,Yes,7,Bakery Packaging
Paper-based,154.98,6.4,64.0,0.0,67.8,2.32,19.2,25.4,Yes,10,Crates
Inorganic,83.58,5.24,75.2,6.012,73.5,1.79,57.2,122.2,Yes,7,Wraps
Inorganic,59.26,6.3,35.6,3.923,44.5,0.01,77.4,92.4,No,3,Beverage Bottles
Synthetic Polymer,62.01,3.48,5.7,1.927,80.5,2.54,65.8,73.1,No,6,Takeaway Boxes
Synthetic Polymer,50.88,10.03,28.9,8.116,80.1,2.26,28.6,68.9,No,4,Bakery Packaging
Metal,88.13,8.72,40.6,6.35,74.5,5.0,49.9,47.5,No,9,Cutlery
Bio-Composite,61.16,4.38,23.0,1.281,49.4,2.77,48.3,82.1,No,6,Bakery Packaging
Biopolymer,83.97,1.04,0.0,3.151,35.8,0.01,39.7,48.0,No,10,Produce Wraps
Bio-Composite,61.26,5.43,24.1,2.444,100.0,4.02,77.4,80.4,No,6,Takeaway Boxes
Plant-based Polymer,182.54,7.88,63.7,5.19,58.5,2.34,43.0,37.2,Yes,5,Dissolvable Pouches
Plant-based Polymer,48.51,4.99,77.9,5.946,66.1,2.2,51.9,11.8,Yes,5,Wraps
Paper-based,59.53,3.96,89.8,8.452,78.1,0.01,23.3,52.0,Yes,10,Wraps
Bio-Composite,69.8,7.16,72.2,1.706,50.2,0.18,67.4,32.6,Yes,8,Bowls
Paper-based,114.07,9.37,63.1,0.894,29.9,1.03,36.4,27.3,Yes,1,Containers
Plant-based Polymer,107.05,4.37,0.0,4.283,100.0,5.33,79.4,93.7,No,1,Bowls
Wood-based,88.2,3.29,58.7,2.485,71.1,2.17,55.3,114.5,Yes,7,Plates
Biopolymer,85.47,5.54,39.0,4.877,39.2,2.79,62.7,44.4,No,5,Bakery Packaging
Paper-based,65.95,6.45,35.3,6.054,69.3,1.52,69.5,62.1,No,7,Cereal Boxes
Inorganic,79.47,5.75,72.1,0.461,79.9,2.43,54.5,3.2,Yes,5,Beverage Bottles
Wood-based,57.17,15.78,0.0,8.864,62.0,0.99,43.4,65.0,No,2,Cushion Packaging
Bio-Composite,102.12,14.91,52.4,3.288,67.2,1.64,47.1,-13.0,Yes,4,Cereal Boxes
Inorganic,104.89,5.78,19.0,3.337,64.8,4.07,80.2,46.5,No,3,Cushion Packaging
Wood-based,1.0,7.65,70.4,7.772,55.8,0.91,90.2,69.2,Yes,7,Cushion Packaging
Plant-based Polymer,73.77,9.08,35.5,1.358,59.2,1.87,29.5,22.4,No,7,Produce Wraps
Bio-Composite,47.04,6.96,43.9,4.774,43.0,2.94,60.9,49.4,No,8,Food Trays
Natural Fiber,33.46,3.3,74.7,1.828,0.0,2.24,55.1,33.3,Yes,7,Takeaway Boxes
Natural Polymer,43.07,0.1,29.8,7.964,98.2,1.04,87.2,45.0,No,9,Cutlery
Natural Fiber,130.39,6.41,64.5,5.957,69.0,0.71,45.9,-20.0,Yes,2,Wraps
Plant-based Polymer,100.31,2.58,34.1,4.462,16.9,4.28,48.0,1.1,No,4,Plates
Plant-based Polymer,81.25,2.87,0.0,5.111,77.4,2.61,45.5,18.1,No,7,Takeaway Boxes
Paper-based,68.03,7.98,25.7,5.193,70.9,4.84,70.2,44.8,No,6,Containers
Biopolymer,114.15,8.46,100.0,4.22,29.7,1.33,59.7,-12.8,Yes,4,Bakery Packaging
Natural Fiber,92.69,6.77,76.6,6.711,0.0,0.88,66.2,74.8,Yes,4,Dissolvable Pouches
Biopolymer,66.85,6.02,18.7,3.164,77.1,2.74,19.7,31.1,No,7,Beverage Bottles
Synthetic Polymer,22.03,4.25,68.2,8.055,57.9,1.55,82.6,100.0,Yes,5,Cutlery
Bio-Composite,89.82,2.67,0.0,2.919,48.9,4.07,29.9,76.2,No,1,Crates
Paper-based,94.62,5.79,3.4,4.119,58.0,4.06,36.0,-17.1,No,4,Takeaway Boxes
Wood-based,105.04,9.85,72.5,5.944,55.2,5.0,65.4,19.6,Yes,7,Dissolvable Pouches
Bio-Composite,120.07,7.16,26.3,1.451,44.1,4.24,57.7,80.7,No,8,Crates
Wood-based,78.92,6.67,29.4,9.208,50.4,1.96,77.5,33.9,No,6,Crates
Synthetic Polymer,45.09,11.61,61.3,0.538,58.8,3.43,89.6,43.8,Yes,5,Containers
Biodegradable Polymer,16.54,7.25,18.2,8.607,52.3,2.56,100.0,66.9,No,5,Dissolvable Pouches
Natural Fiber,93.21,2.37,56.1,3.447,95.2,3.65,47.1,86.9,Yes,8,Containers
Biopolymer,114.18,2.83,18.8,6.946,58.8,0.01,100.0,26.9,No,10,Containers
Inorganic,18.97,0.1,61.3,6.105,52.6,4.38,22.1,82.8,Yes,8,Dissolvable Pouches
Paper-based,70.63,6.18,36.9,2.455,56.4,3.89,60.5,33.8,No,2,Plates
Wood-based,126.43,10.18,67.3,7.885,14.6,2.04,87.8,49.7,Yes,2,Cushion Packaging
Bio-Composite,96.35,1.88,56.5,7.682,64.1,1.8,59.2,49.9,Yes,5,Bowls
Biopolymer,77.45,11.61,10.4,0.0,80.2,1.37,40.5,27.4,No,6,Crates
Biopolymer,116.26,4.64,100.0,4.608,40.1,2.84,39.2,31.9,Yes,3,Plates
Natural Fiber,67.36,4.29,65.0,4.72,73.7,4.19,53.7,48.5,Yes,8,Bakery Packaging
Natural Polymer,87.44,1.96,77.2,5.303,51.2,6.23,44.5,15.2,Yes,8,Cushion Packaging
Biodegradable Polymer,103.73,8.25,66.2,1.976,27.0,1.39,70.0,81.8,Yes,3,Food Trays
Natural Polymer,71.58,8.81,36.8,4.627,84.6,3.27,88.2,76.3,No,4,Cushion Packaging
Bio-Composite,1.0,1.28,41.1,6.372,86.6,2.08,67.0,111.0,No,4,Produce Wraps
Biodegradable Polymer,60.21,7.64,29.3,7.24,100.0,3.28,76.1,-6.4,No,1,Cereal Boxes
Paper-based,110.6,4.13,41.3,5.552,42.6,3.5,78.1,69.0,No,3,Plates
Metal,69.48,7.16,64.4,7.722,52.4,0.25,91.1,58.7,Yes,3,Food Trays
Inorganic,26.17,5.01,7.0,5.252,11.2,2.57,37.7,69.3,No,3,Wraps
Biodegradable Polymer,56.81,6.03,32.9,8.864,51.9,1.78,31.8,-11.1,No,10,Food Trays
Biopolymer,98.77,3.13,87.2,7.457,68.7,3.26,11.8,22.1,Yes,3,Dissolvable Pouches
Paper-based,8.27,2.99,18.6,2.697,58.9,1.82,43.5,16.9,No,4,Takeaway Boxes
Natural Polymer,125.13,7.96,97.6,9.055,51.2,5.54,64.2,23.3,Yes,3,Containers
Bio-Composite,40.53,7.6,53.2,2.463,44.8,1.97,84.8,25.8,Yes,10,Produce Wraps
Natural Fiber,70.73,4.14,77.7,0.473,84.4,2.08,46.7,16.0,Yes,2,Dissolvable Pouches
Biopolymer,1.0,7.52,48.3,4.485,83.8,2.08,57.3,81.0,No,2,Food Trays
Paper-based,143.1,7.04,64.8,8.018,65.8,2.77,43.1,49.9,Yes,4,Crates
Natural Fiber,105.32,6.75,10.7,2.905,38.2,2.06,68.0,36.8,No,10,Takeaway Boxes
Plant-based Polymer,118.23,11.79,49.1,4.839,42.4,3.27,65.8,24.1,No,6,Plates
Synthetic Polymer,86.52,3.34,47.6,4.309,37.6,3.71,91.2,56.3,No,1,Wraps
Natural Polymer,130.58,4.25,51.2,3.404,72.2,1.88,53.3,-20.0,Yes,10,Crates
Natural Fiber,127.16,9.97,39.1,6.19,47.5,0.01,66.2,96.6,No,8,Dissolvable Pouches
Biodegradable Polymer,121.65,7.12,56.2,5.975,65.2,1.64,92.1,123.7,Yes,8,Food Trays
Synthetic Polymer,31.38,12.98,66.2,6.014,53.8,3.27,61.7,29.9,Yes,4,Dissolvable Pouches
Synthetic Polymer,75.63,1.7,0.0,3.758,61.0,2.61,85.5,67.8,No,4,Produce Wraps
