Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Biodegradability_Score,CO2_Emission_Score,Recyclability_Percent,Moisture_Barrier_Grade,AI_Recommendation
Edible Seaweed Film,11.4,7.0,100.0,0.51,0.7,2,Consider as Option
Bioplastic (PLA),69.7,9.8,81.7,2.06,58.6,9,Highly Recommended
Recycled Cardboard,31.3,7.6,93.4,1.26,94.6,3,Highly Recommended
Edible Seaweed Film,13.5,4.7,100.0,0.42,1.2,4,Consider as Option
Aluminum Foil,23.5,8.5,0.0,9.23,99.8,10,Avoid
Virgin Plastic (PP),70.6,2.1,3.1,3.71,17.7,10,Avoid
Aluminum Foil,29.5,3.1,0.0,11.09,93.9,10,Avoid
Bamboo Fiber,45.3,3.6,95.9,0.75,44.5,6,Highly Recommended
Edible Seaweed Film,7.2,5.0,100.0,0.6,9.3,4,Consider as Option
Bamboo Fiber,41.0,8.0,96.0,1.09,42.2,6,Highly Recommended
Bamboo Fiber,59.9,5.4,95.3,1.07,40.3,8,Highly Recommended
Bagasse (Sugarcane),33.3,8.2,98.2,1.27,58.0,6,Highly Recommended
Bioplastic (PLA),69.5,7.0,91.9,2.44,51.6,8,Highly Recommended
Recycled Cardboard,33.0,8.7,91.0,0.84,85.7,3,Highly Recommended
Mushroom Mycelium,14.1,0.9,100.0,0.12,100.0,4,Highly Recommended
Bamboo Fiber,53.0,5.5,99.2,1.2,43.8,8,Highly Recommended
Virgin Plastic (PP),71.7,3.9,0.1,3.93,12.2,10,Avoid
Recycled Cardboard,26.6,7.6,93.5,1.25,96.0,3,Highly Recommended
Virgin Plastic (PP),88.5,2.3,0.8,4.13,27.4,10,Avoid
Bioplastic (PLA),53.1,0.6,88.5,2.35,41.3,9,Consider as Option
Bioplastic (PLA),59.7,3.2,80.8,2.22,56.1,8,Consider as Option
Aluminum Foil,29.1,5.0,0.0,10.24,99.4,10,Avoid
Virgin Plastic (PP),80.0,7.2,1.8,4.88,10.8,10,Avoid
Virgin Plastic (PP),63.1,5.4,3.2,5.47,17.0,10,Avoid
Bioplastic (PLA),54.2,2.7,82.2,1.91,57.3,8,Highly Recommended
Bagasse (Sugarcane),35.0,6.3,97.9,1.2,56.1,5,Highly Recommended
Mushroom Mycelium,11.7,5.2,100.0,0.28,100.0,4,Highly Recommended
Mushroom Mycelium,17.5,2.3,100.0,0.24,100.0,4,Highly Recommended
Virgin Plastic (PP),88.3,6.0,1.0,4.0,24.3,10,Avoid
Bamboo Fiber,58.6,3.8,95.2,0.68,43.7,7,Highly Recommended
Edible Seaweed Film,5.4,9.1,100.0,0.55,0.9,4,Consider as Option
Edible Seaweed Film,8.3,8.9,100.0,0.3,7.9,3,Consider as Option
Bamboo Fiber,58.8,9.8,99.7,0.75,49.2,7,Highly Recommended
Bagasse (Sugarcane),35.8,4.1,95.3,1.16,58.4,7,Highly Recommended
Virgin Plastic (PP),69.0,10.0,4.2,5.61,28.4,10,Avoid
Bagasse (Sugarcane),29.3,7.4,95.8,1.16,69.5,7,Highly Recommended
Virgin Plastic (PP),80.8,8.3,1.4,5.6,21.0,10,Avoid
Bamboo Fiber,40.3,3.6,97.0,0.76,33.9,7,Highly Recommended
Virgin Plastic (PP),67.6,0.8,1.5,3.52,15.3,10,Avoid
Bioplastic (PLA),70.6,5.4,82.3,1.64,50.8,9,Highly Recommended
Mushroom Mycelium,14.7,9.0,100.0,0.17,100.0,5,Highly Recommended
Edible Seaweed Film,7.6,2.3,100.0,0.37,6.4,4,Consider as Option
Bamboo Fiber,51.0,8.9,98.4,0.59,47.0,7,Highly Recommended
Bagasse (Sugarcane),32.0,0.6,98.1,1.12,66.5,7,Highly Recommended
Edible Seaweed Film,6.4,8.2,100.0,0.23,6.3,4,Consider as Option
Edible Seaweed Film,12.8,3.1,100.0,0.3,6.4,2,Consider as Option
Virgin Plastic (PP),64.3,3.8,0.5,4.59,14.5,10,Avoid
Bamboo Fiber,59.6,9.3,99.5,0.69,48.3,7,Highly Recommended
Recycled Cardboard,26.3,3.2,99.4,1.14,91.6,5,Highly Recommended
Aluminum Foil,36.3,5.8,0.0,11.88,95.2,10,Avoid
Recycled Cardboard,17.9,8.6,96.1,0.88,99.3,4,Highly Recommended
Mushroom Mycelium,13.2,4.8,100.0,0.21,100.0,5,Highly Recommended
Edible Seaweed Film,5.8,2.5,100.0,0.37,6.1,3,Consider as Option
Virgin Plastic (PP),78.4,9.6,4.1,5.49,26.6,10,Avoid
Virgin Plastic (PP),75.6,4.3,4.5,4.87,16.9,10,Avoid
Bagasse (Sugarcane),25.2,4.9,98.0,1.35,56.7,7,Highly Recommended
Aluminum Foil,43.0,6.8,0.0,8.23,95.0,10,Avoid
Bioplastic (PLA),50.3,8.4,86.2,1.79,57.3,9,Highly Recommended
Bagasse (Sugarcane),39.0,2.9,99.5,1.16,56.0,5,Highly Recommended
Bagasse (Sugarcane),24.1,1.9,99.5,1.27,65.9,5,Highly Recommended
Edible Seaweed Film,6.7,6.3,100.0,0.54,9.4,4,Consider as Option
Virgin Plastic (PP),61.1,0.5,1.2,3.53,16.6,10,Avoid
Mushroom Mycelium,14.0,4.5,100.0,0.23,100.0,5,Highly Recommended
Bioplastic (PLA),58.9,1.0,80.5,2.45,54.8,8,Consider as Option
Aluminum Foil,27.2,5.6,0.0,9.42,98.2,10,Avoid
Aluminum Foil,27.8,3.0,0.0,8.99,98.6,10,Avoid
Bamboo Fiber,50.8,3.3,99.7,0.72,33.9,8,Highly Recommended
Mushroom Mycelium,21.5,4.3,100.0,0.22,100.0,6,Highly Recommended
Bioplastic (PLA),51.8,0.7,94.2,2.43,44.9,8,Highly Recommended
Edible Seaweed Film,9.6,4.6,100.0,0.53,0.5,2,Consider as Option
Edible Seaweed Film,13.5,8.9,100.0,0.44,8.1,2,Consider as Option
Aluminum Foil,39.9,8.0,0.0,11.38,93.5,10,Avoid
Mushroom Mycelium,12.1,0.5,100.0,0.22,100.0,5,Highly Recommended
Recycled Cardboard,25.6,4.6,95.6,1.36,80.0,5,Highly Recommended
Recycled Cardboard,22.8,3.7,91.9,0.83,92.6,5,Highly Recommended
Bioplastic (PLA),58.2,8.7,92.4,1.8,42.8,9,Highly Recommended
Bioplastic (PLA),64.2,9.0,82.2,2.42,53.8,9,Consider as Option
Bagasse (Sugarcane),27.6,9.5,95.1,1.18,65.1,6,Highly Recommended
Bioplastic (PLA),60.7,1.0,93.1,2.06,53.7,8,Highly Recommended
Edible Seaweed Film,5.8,7.4,100.0,0.49,2.9,2,Consider as Option
Bagasse (Sugarcane),23.2,3.3,96.6,0.96,59.7,6,Highly Recommended
Mushroom Mycelium,11.1,2.1,100.0,0.29,100.0,5,Highly Recommended
Mushroom Mycelium,22.3,9.7,100.0,0.21,100.0,6,Highly Recommended
Bagasse (Sugarcane),29.3,7.4,95.8,1.16,69.5,7,Highly Recommended
Recycled Cardboard,25.0,7.7,92.3,1.25,96.2,3,Highly Recommended
Bamboo Fiber,57.9,6.2,100.0,0.81,32.4,7,Highly Recommended
Virgin Plastic (PP),72.3,5.7,2.3,5.23,29.7,10,Avoid
Edible Seaweed Film,10.5,9.1,100.0,0.2,2.7,2,Consider as Option
Recycled Cardboard,18.3,6.1,97.2,1.25,83.3,4,Highly Recommended
Mushroom Mycelium,10.2,9.8,100.0,0.11,100.0,4,Highly Recommended
Aluminum Foil,31.8,4.6,0.0,8.41,95.4,10,Avoid
Bioplastic (PLA),69.3,3.5,89.9,2.36,40.6,8,Consider as Option
Bioplastic (PLA),74.5,3.4,90.8,2.29,50.1,8,Highly Recommended
Bagasse (Sugarcane),35.5,1.0,99.1,1.37,60.7,5,Highly Recommended
Virgin Plastic (PP),72.6,1.9,4.8,4.9,29.4,10,Avoid
Bamboo Fiber,58.9,6.1,99.0,1.03,38.3,7,Highly Recommended
Bagasse (Sugarcane),23.3,6.1,99.7,1.03,60.4,7,Highly Recommended
Aluminum Foil,27.2,5.6,0.0,9.42,98.2,10,Avoid
Virgin Plastic (PP),79.7,3.7,1.0,5.68,24.8,10,Avoid
Edible Seaweed Film,12.2,9.2,100.0,0.29,1.1,2,Consider as Option
Bagasse (Sugarcane),39.5,3.7,98.1,1.18,50.2,7,Highly Recommended
Bamboo Fiber,52.6,9.0,96.9,0.8,46.9,6,Highly Recommended
Bioplastic (PLA),54.6,1.7,94.1,1.98,41.4,9,Highly Recommended
Virgin Plastic (PP),76.9,4.4,0.8,3.65,26.1,10,Avoid
Aluminum Foil,28.1,1.9,0.0,8.82,99.5,10,Avoid
Edible Seaweed Film,12.9,2.3,100.0,0.41,2.5,2,Consider as Option
Virgin Plastic (PP),69.3,5.3,1.4,5.5,14.7,10,Avoid
Bioplastic (PLA),70.1,5.1,88.9,2.11,57.9,9,Highly Recommended
Edible Seaweed Film,8.2,5.8,100.0,0.34,9.2,3,Consider as Option
Bagasse (Sugarcane),38.7,6.6,99.8,1.1,60.4,5,Highly Recommended
Virgin Plastic (PP),64.9,6.6,4.8,4.92,13.7,10,Avoid
Mushroom Mycelium,16.5,8.8,100.0,0.31,100.0,6,Highly Recommended
Bagasse (Sugarcane),25.4,1.2,96.0,1.4,54.3,7,Highly Recommended
Bamboo Fiber,42.5,3.7,98.4,0.7,44.9,6,Highly Recommended
Bioplastic (PLA),62.6,8.8,80.4,1.62,41.5,9,Highly Recommended
Virgin Plastic (PP),80.9,8.1,1.9,4.85,23.9,10,Avoid
Bamboo Fiber,41.4,6.8,98.3,1.13,44.2,8,Highly Recommended
Aluminum Foil,38.3,3.3,0.0,8.83,97.4,10,Avoid
Edible Seaweed Film,12.4,9.8,100.0,0.25,8.2,3,Consider as Option
Edible Seaweed Film,12.9,4.1,100.0,0.5,7.0,3,Consider as Option
Recycled Cardboard,29.8,6.4,95.4,1.4,91.2,5,Highly Recommended
Bamboo Fiber,41.2,7.3,97.3,1.15,49.0,7,Highly Recommended
Virgin Plastic (PP),65.1,7.2,4.6,4.58,14.5,10,Avoid
Mushroom Mycelium,17.7,2.8,100.0,0.29,100.0,5,Highly Recommended
Bagasse (Sugarcane),21.8,7.3,95.6,1.37,52.0,6,Highly Recommended
Recycled Cardboard,23.0,7.8,95.3,0.8,84.8,5,Highly Recommended
Bamboo Fiber,57.4,1.7,96.0,1.18,49.4,6,Highly Recommended
Bamboo Fiber,59.0,4.5,98.5,0.99,39.8,7,Highly Recommended
Recycled Cardboard,33.2,2.2,91.6,1.14,88.9,4,Highly Recommended
Edible Seaweed Film,7.0,7.5,100.0,0.47,1.1,4,Consider as Option
Recycled Cardboard,30.5,9.4,99.3,1.3,86.0,4,Highly Recommended
Bioplastic (PLA),60.0,8.7,93.9,2.04,51.2,9,Highly Recommended
Bagasse (Sugarcane),24.5,3.8,97.0,1.08,60.4,7,Highly Recommended
Virgin Plastic (PP),78.0,10.0,4.4,5.17,17.7,10,Avoid
Bioplastic (PLA),54.4,7.4,89.2,2.11,50.6,8,Highly Recommended
Edible Seaweed Film,9.6,5.3,100.0,0.28,9.8,4,Consider as Option
Bagasse (Sugarcane),32.3,8.5,99.0,1.33,51.5,7,Highly Recommended
Mushroom Mycelium,17.2,2.1,100.0,0.16,100.0,4,Highly Recommended
Aluminum Foil,42.4,6.5,0.0,10.94,95.8,10,Avoid
Aluminum Foil,26.9,2.1,0.0,10.73,93.5,10,Avoid
Recycled Cardboard,22.0,2.4,98.7,1.24,85.4,3,Highly Recommended
Mushroom Mycelium,13.7,5.6,100.0,0.2,100.0,6,Highly Recommended
Bioplastic (PLA),58.9,2.3,81.1,2.1,46.8,8,Consider as Option
Bamboo Fiber,49.5,2.1,96.8,0.75,40.6,6,Highly Recommended
Recycled Cardboard,34.2,9.2,92.8,1.24,86.5,3,Highly Recommended
Aluminum Foil,35.3,9.0,0.0,11.34,98.3,10,Avoid
Bioplastic (PLA),61.8,7.8,88.4,1.88,42.5,8,Highly Recommended
Bamboo Fiber,45.2,4.5,99.1,1.0,44.2,6,Highly Recommended
Bagasse (Sugarcane),31.5,5.3,97.3,1.18,64.7,7,Highly Recommended
Bioplastic (PLA),60.7,7.1,88.3,1.72,45.3,9,Highly Recommended
Virgin Plastic (PP),61.3,0.8,0.3,4.94,20.1,10,Avoid
Virgin Plastic (PP),71.2,6.3,2.5,3.75,19.3,10,Avoid
Mushroom Mycelium,17.4,3.4,100.0,0.39,100.0,5,Highly Recommended
Bamboo Fiber,42.6,3.3,99.6,1.05,41.4,6,Highly Recommended
Aluminum Foil,31.8,7.7,0.0,11.55,94.3,10,Avoid
Aluminum Foil,43.8,2.4,0.0,8.8,95.2,10,Avoid
Virgin Plastic (PP),62.4,5.2,2.2,3.69,20.5,10,Avoid
Edible Seaweed Film,5.1,1.5,100.0,0.43,6.2,2,Consider as Option
Recycled Cardboard,27.3,2.4,97.1,1.03,89.3,4,Highly Recommended
Edible Seaweed Film,6.1,1.1,100.0,0.4,3.2,4,Consider as Option
Recycled Cardboard,30.6,6.4,97.2,0.85,93.3,4,Highly Recommended
Recycled Cardboard,20.3,4.1,91.6,0.99,97.1,3,Highly Recommended
Mushroom Mycelium,19.8,4.6,100.0,0.31,100.0,4,Highly Recommended
Edible Seaweed Film,6.4,3.1,100.0,0.39,8.5,2,Consider as Option
Bioplastic (PLA),72.8,9.8,91.2,2.39,56.5,8,Highly Recommended
Aluminum Foil,26.5,6.6,0.0,9.75,96.2,10,Avoid
Mushroom Mycelium,21.5,8.0,100.0,0.33,100.0,6,Highly Recommended
Bagasse (Sugarcane),28.9,2.4,98.7,1.12,60.1,7,Highly Recommended
Edible Seaweed Film,14.3,9.0,100.0,0.3,5.7,4,Consider as Option
Recycled Cardboard,33.6,9.7,91.0,0.9,92.3,3,Highly Recommended
Edible Seaweed Film,14.2,2.4,100.0,0.26,0.2,4,Consider as Option
Virgin Plastic (PP),65.2,1.1,4.3,4.71,22.2,10,Avoid
Bagasse (Sugarcane),23.8,5.8,99.5,1.05,54.2,7,Highly Recommended
Aluminum Foil,31.2,4.1,0.0,11.08,99.1,10,Avoid
Bamboo Fiber,40.9,3.2,96.0,0.76,34.3,7,Highly Recommended
Aluminum Foil,44.8,4.1,0.0,8.43,94.1,10,Avoid
Bioplastic (PLA),69.1,9.0,84.7,2.44,43.2,9,Consider as Option
Virgin Plastic (PP),66.3,8.0,2.0,3.63,25.0,10,Avoid
Bamboo Fiber,45.7,1.2,99.2,0.55,47.3,7,Highly Recommended
Bagasse (Sugarcane),21.8,7.3,95.6,1.37,52.0,6,Highly Recommended
Recycled Cardboard,27.8,9.5,96.6,0.89,92.5,5,Highly Recommended
Aluminum Foil,38.8,7.4,0.0,11.46,96.9,10,Avoid
Edible Seaweed Film,5.3,8.2,100.0,0.33,3.9,2,Consider as Option
Edible Seaweed Film,8.9,2.8,100.0,0.28,9.8,4,Consider as Option
Aluminum Foil,42.9,1.3,0.0,10.72,100.0,10,Avoid
Virgin Plastic (PP),72.6,1.9,4.8,4.9,29.4,10,Avoid
Recycled Cardboard,25.3,4.4,93.8,1.31,87.8,4,Highly Recommended
Bioplastic (PLA),58.6,1.3,80.9,1.71,54.7,9,Highly Recommended
Aluminum Foil,28.2,8.9,0.0,11.05,95.1,10,Avoid
Bioplastic (PLA),56.8,6.0,88.3,1.99,56.8,8,Highly Recommended
Bioplastic (PLA),61.2,2.8,92.8,2.33,53.9,9,Highly Recommended
Bagasse (Sugarcane),26.4,7.8,96.9,0.95,56.9,5,Highly Recommended
Edible Seaweed Film,8.6,1.9,100.0,0.24,3.6,4,Consider as Option
Aluminum Foil,27.5,7.5,0.0,9.52,95.5,10,Avoid
Mushroom Mycelium,12.7,7.3,100.0,0.14,100.0,6,Highly Recommended
Mushroom Mycelium,24.6,7.7,100.0,0.28,100.0,5,Highly Recommended
Edible Seaweed Film,14.6,1.2,100.0,0.26,4.0,4,Consider as Option
Aluminum Foil,29.5,4.0,0.0,10.27,99.8,10,Avoid
Mushroom Mycelium,21.5,5.2,100.0,0.31,100.0,5,Highly Recommended
Edible Seaweed Film,10.2,5.1,100.0,0.4,9.6,2,Consider as Option
Aluminum Foil,39.3,4.8,0.0,11.8,99.3,10,Avoid
Virgin Plastic (PP),68.4,1.7,1.0,5.14,13.0,10,Avoid
Recycled Cardboard,22.3,1.8,97.5,1.12,82.9,4,Highly Recommended
Bamboo Fiber,54.6,3.2,97.0,1.1,39.0,6,Highly Recommended
Aluminum Foil,39.0,4.0,0.0,8.88,92.2,10,Avoid
Mushroom Mycelium,11.4,8.4,100.0,0.15,100.0,6,Highly Recommended
Edible Seaweed Film,9.7,8.1,100.0,0.26,7.0,2,Consider as Option
Mushroom Mycelium,11.5,8.3,100.0,0.35,100.0,4,Highly Recommended
Mushroom Mycelium,13.3,7.1,100.0,0.11,100.0,4,Highly Recommended
Bamboo Fiber,55.7,8.5,97.8,0.82,46.4,6,Highly Recommended
Aluminum Foil,42.2,8.8,0.0,9.15,94.6,10,Avoid
Aluminum Foil,38.7,8.6,0.0,8.35,93.7,10,Avoid
Virgin Plastic (PP),89.9,2.1,0.4,5.93,19.0,10,Avoid
Aluminum Foil,43.4,0.6,0.0,11.04,90.2,10,Avoid
Bagasse (Sugarcane),24.9,7.4,97.5,1.18,59.5,7,Highly Recommended
Bagasse (Sugarcane),34.5,2.8,96.5,1.31,57.4,5,Highly Recommended
Bagasse (Sugarcane),38.8,4.2,98.0,1.14,64.6,7,Highly Recommended
Recycled Cardboard,19.6,6.1,91.5,0.83,86.2,3,Highly Recommended
Mushroom Mycelium,21.6,4.9,100.0,0.31,100.0,6,Highly Recommended
Mushroom Mycelium,17.1,4.6,100.0,0.29,100.0,5,Highly Recommended
Bioplastic (PLA),66.3,6.0,85.8,1.53,58.4,8,Highly Recommended
Virgin Plastic (PP),67.2,8.3,2.3,4.21,12.6,10,Avoid
Aluminum Foil,21.4,2.5,0.0,11.1,99.6,10,Avoid
Bagasse (Sugarcane),24.0,0.6,96.5,1.36,50.8,6,Highly Recommended
Virgin Plastic (PP),63.8,1.3,1.0,5.94,21.6,10,Avoid
Bioplastic (PLA),51.3,7.8,85.2,1.93,47.7,9,Highly Recommended
Virgin Plastic (PP),61.8,1.8,3.8,4.03,17.1,10,Avoid
Bagasse (Sugarcane),27.3,8.3,99.7,1.35,64.5,5,Highly Recommended
Bagasse (Sugarcane),30.7,2.0,98.4,1.37,59.8,7,Highly Recommended
Virgin Plastic (PP),60.3,4.6,0.9,3.72,27.5,10,Avoid
Edible Seaweed Film,10.6,6.9,100.0,0.47,6.6,3,Consider as Option
Mushroom Mycelium,14.1,9.2,100.0,0.38,100.0,4,Highly Recommended
Recycled Cardboard,27.6,9.0,97.5,1.25,85.7,3,Highly Recommended
Bamboo Fiber,42.9,1.9,98.7,0.89,36.6,7,Highly Recommended
Bamboo Fiber,49.4,1.5,98.6,0.74,41.5,8,Highly Recommended
Bagasse (Sugarcane),38.8,4.2,98.0,1.14,64.6,7,Highly Recommended
Edible Seaweed Film,13.7,6.1,100.0,0.23,0.4,4,Consider as Option
Virgin Plastic (PP),69.4,6.0,2.3,4.37,21.5,10,Avoid
Bioplastic (PLA),54.2,1.8,93.0,2.39,47.8,8,Highly Recommended
Edible Seaweed Film,14.9,8.1,100.0,0.24,3.9,2,Consider as Option
Edible Seaweed Film,5.6,8.8,100.0,0.21,2.6,3,Consider as Option
Recycled Cardboard,22.0,6.0,97.6,1.42,98.0,3,Highly Recommended
Virgin Plastic (PP),81.6,1.7,1.9,5.1,27.7,10,Avoid
Edible Seaweed Film,6.1,1.7,100.0,0.58,1.4,3,Consider as Option
Virgin Plastic (PP),64.3,7.4,5.0,4.42,26.7,10,Avoid
Recycled Cardboard,32.9,9.5,92.1,1.38,98.3,3,Highly Recommended
Mushroom Mycelium,12.6,9.7,100.0,0.25,100.0,4,Highly Recommended
Aluminum Foil,44.8,4.1,0.0,8.43,94.1,10,Avoid
Recycled Cardboard,31.9,2.4,91.8,0.86,99.5,3,Highly Recommended
Aluminum Foil,24.8,1.8,0.0,11.62,95.4,10,Avoid
Edible Seaweed Film,9.5,4.7,100.0,0.4,3.1,2,Consider as Option
Mushroom Mycelium,12.4,8.9,100.0,0.31,100.0,5,Highly Recommended
Bamboo Fiber,44.5,1.8,95.2,0.98,33.5,6,Highly Recommended
Bamboo Fiber,45.1,3.9,97.1,0.59,30.8,7,Highly Recommended
Mushroom Mycelium,21.8,5.3,100.0,0.28,100.0,6,Highly Recommended
Recycled Cardboard,32.2,4.8,92.9,0.87,80.9,5,Highly Recommended
Aluminum Foil,22.4,8.8,0.0,8.51,99.1,10,Avoid
Edible Seaweed Film,10.9,8.7,100.0,0.35,1.5,4,Consider as Option
Edible Seaweed Film,13.5,7.7,100.0,0.46,4.6,4,Consider as Option
Recycled Cardboard,26.6,7.6,93.5,1.25,96.0,3,Highly Recommended
Bagasse (Sugarcane),36.3,1.6,96.2,1.17,59.8,6,Highly Recommended
Recycled Cardboard,18.1,0.5,93.5,0.89,85.3,4,Highly Recommended
Bamboo Fiber,55.7,2.1,95.8,0.63,39.8,6,Highly Recommended
Bamboo Fiber,55.5,8.8,95.6,0.99,48.1,6,Highly Recommended
Bamboo Fiber,59.9,2.2,98.6,0.89,44.8,7,Highly Recommended
Mushroom Mycelium,18.5,6.1,100.0,0.13,100.0,5,Highly Recommended
Bagasse (Sugarcane),32.1,3.5,98.9,1.37,70.0,5,Highly Recommended
Edible Seaweed Film,8.7,4.6,100.0,0.54,0.3,2,Consider as Option
Edible Seaweed Film,8.7,5.2,100.0,0.26,3.4,4,Consider as Option
Virgin Plastic (PP),65.4,6.0,4.7,4.83,22.8,10,Avoid
Bioplastic (PLA),66.1,5.3,89.6,2.09,41.1,8,Consider as Option
Bamboo Fiber,54.8,0.6,98.0,0.76,34.4,7,Highly Recommended
Mushroom Mycelium,12.3,1.7,100.0,0.21,100.0,4,Highly Recommended
Virgin Plastic (PP),68.4,1.3,4.6,4.58,24.6,10,Avoid
Edible Seaweed Film,13.9,3.9,100.0,0.55,1.8,2,Consider as Option
Bamboo Fiber,50.7,8.6,95.2,1.08,38.8,8,Highly Recommended
Aluminum Foil,25.3,7.2,0.0,9.43,97.4,10,Avoid
Edible Seaweed Film,12.0,4.4,100.0,0.58,1.3,2,Consider as Option
Mushroom Mycelium,21.2,1.1,100.0,0.32,100.0,4,Highly Recommended
Edible Seaweed Film,9.6,4.6,100.0,0.53,0.5,2,Consider as Option
Mushroom Mycelium,23.0,7.7,100.0,0.37,100.0,6,Highly Recommended
Virgin Plastic (PP),73.0,10.0,2.3,4.85,26.0,10,Avoid
Edible Seaweed Film,5.8,7.4,100.0,0.49,2.9,2,Consider as Option
Bamboo Fiber,42.0,6.0,97.9,0.91,30.5,7,Highly Recommended
Virgin Plastic (PP),69.0,6.3,3.8,4.59,19.6,10,Avoid
Edible Seaweed Film,6.6,3.7,100.0,0.45,9.8,3,Consider as Option
Mushroom Mycelium,23.2,9.1,100.0,0.23,100.0,5,Highly Recommended
Aluminum Foil,24.2,3.2,0.0,8.34,97.2,10,Avoid
Aluminum Foil,28.8,5.0,0.0,10.85,99.7,10,Avoid
Bamboo Fiber,54.6,9.0,95.4,0.96,37.2,6,Highly Recommended
Mushroom Mycelium,16.6,9.6,100.0,0.24,100.0,5,Highly Recommended
Aluminum Foil,40.3,3.0,0.0,9.09,90.8,10,Avoid
Bagasse (Sugarcane),28.9,2.4,98.7,1.12,60.1,7,Highly Recommended
Recycled Cardboard,25.3,5.9,97.5,1.16,93.8,4,Highly Recommended
Bagasse (Sugarcane),26.7,5.7,97.9,1.14,61.1,5,Highly Recommended
Bamboo Fiber,51.0,8.9,98.4,0.59,47.0,7,Highly Recommended
Edible Seaweed Film,10.3,0.6,100.0,0.44,1.5,4,Consider as Option
Edible Seaweed Film,5.6,5.6,100.0,0.43,5.5,4,Consider as Option
Bioplastic (PLA),61.3,4.2,90.4,2.03,46.5,9,Highly Recommended
Edible Seaweed Film,14.2,6.1,100.0,0.31,3.5,2,Consider as Option
Mushroom Mycelium,15.0,0.7,100.0,0.18,100.0,6,Highly Recommended
Edible Seaweed Film,10.6,2.5,100.0,0.27,2.0,3,Consider as Option
Bamboo Fiber,44.9,5.3,95.5,1.09,36.6,8,Highly Recommended
Bamboo Fiber,58.6,1.5,98.5,0.93,36.5,6,Highly Recommended
Bamboo Fiber,56.7,9.4,97.5,0.54,49.3,7,Highly Recommended
Recycled Cardboard,30.5,8.0,100.0,1.15,99.1,5,Highly Recommended
Bagasse (Sugarcane),30.3,5.9,99.6,1.14,65.4,5,Highly Recommended
Bioplastic (PLA),53.0,4.7,88.6,2.32,58.5,8,Highly Recommended
Bioplastic (PLA),56.4,9.9,85.6,2.22,57.6,9,Highly Recommended
Edible Seaweed Film,10.9,5.7,100.0,0.29,5.2,3,Consider as Option
Edible Seaweed Film,5.5,4.1,100.0,0.29,0.2,4,Consider as Option
Virgin Plastic (PP),87.0,2.2,1.8,4.15,23.0,10,Avoid
Mushroom Mycelium,20.2,5.1,100.0,0.25,100.0,5,Highly Recommended
Aluminum Foil,27.5,7.7,0.0,10.79,99.1,10,Avoid
Aluminum Foil,33.9,10.0,0.0,10.84,96.8,10,Avoid
Bamboo Fiber,53.7,1.1,97.0,0.94,35.9,7,Highly Recommended
Bagasse (Sugarcane),36.9,4.3,99.3,1.36,55.6,5,Highly Recommended
Bioplastic (PLA),57.9,9.8,80.6,1.78,58.4,8,Highly Recommended
Bamboo Fiber,52.1,9.2,99.3,0.76,38.0,6,Highly Recommended
Bamboo Fiber,46.7,0.7,98.6,1.07,40.7,7,Highly Recommended
Edible Seaweed Film,13.5,8.9,100.0,0.44,8.1,2,Consider as Option
Recycled Cardboard,33.2,5.2,92.5,0.84,98.5,3,Highly Recommended
Mushroom Mycelium,16.9,1.7,100.0,0.27,100.0,6,Highly Recommended
Bioplastic (PLA),66.3,1.7,84.9,2.16,50.8,8,Consider as Option
Mushroom Mycelium,14.3,0.8,100.0,0.15,100.0,4,Highly Recommended
Bioplastic (PLA),65.0,9.4,83.4,1.64,40.5,8,Consider as Option
Aluminum Foil,29.3,3.0,0.0,8.28,91.4,10,Avoid
Mushroom Mycelium,21.9,5.6,100.0,0.16,100.0,4,Highly Recommended
Virgin Plastic (PP),78.2,2.9,3.3,4.53,15.8,10,Avoid
Bioplastic (PLA),65.6,7.2,91.8,1.84,55.5,9,Highly Recommended
Recycled Cardboard,22.9,1.2,97.7,1.39,88.7,5,Highly Recommended
Mushroom Mycelium,10.7,7.8,100.0,0.38,100.0,6,Highly Recommended
Aluminum Foil,21.2,3.1,0.0,10.07,97.0,10,Avoid
Bamboo Fiber,43.3,9.8,96.9,1.08,38.8,6,Highly Recommended
Edible Seaweed Film,9.6,0.6,100.0,0.55,6.0,4,Consider as Option
Bioplastic (PLA),56.6,7.9,82.7,1.9,57.6,9,Highly Recommended
Bamboo Fiber,58.1,1.1,96.1,1.14,45.5,7,Highly Recommended
Bamboo Fiber,54.6,9.9,95.5,0.75,49.1,6,Highly Recommended
Virgin Plastic (PP),79.6,7.5,3.2,5.82,14.1,10,Avoid
Bioplastic (PLA),61.4,1.7,88.4,1.71,49.9,9,Highly Recommended
Bagasse (Sugarcane),30.3,7.4,97.6,0.99,56.9,7,Highly Recommended
Virgin Plastic (PP),87.4,9.8,2.4,4.93,14.2,10,Avoid
Edible Seaweed Film,10.1,7.3,100.0,0.35,6.8,3,Consider as Option
Virgin Plastic (PP),89.9,0.9,4.2,5.71,18.7,10,Avoid
Recycled Cardboard,19.3,8.3,97.8,1.31,98.3,3,Highly Recommended
Aluminum Foil,34.8,6.7,0.0,10.37,92.3,10,Avoid
Bagasse (Sugarcane),33.5,2.1,99.3,1.03,60.7,7,Highly Recommended
Aluminum Foil,35.2,8.9,0.0,8.26,92.7,10,Avoid
